,,,"American Association of Individual Investors 625 N. Michigan Ave., Chicago, IL. 60611; (312) 280-0170; www.aaii.com",,,,,,,,,
9-1-89,34.0%,30.0%,36.0%,100%,37.13%,-2.0%,37.9%,48.0%,27.9%,353.73,349.84,353.73
9-8-89,30.0%,30.0%,40.0%,100%,38.13%,-10.0%,37.9%,48.0%,27.9%,352.56,348.35,348.76
9-15-89,31.0%,44.0%,25.0%,100%,38.00%,6.0%,37.9%,48.0%,27.9%,348.70,343.16,345.06
9-22-89,24.0%,37.0%,39.0%,100%,35.88%,-15.0%,37.9%,48.0%,27.9%,347.05,345.70,347.05
9-29-89,33.0%,38.0%,29.0%,100%,35.63%,4.0%,37.9%,48.0%,27.9%,349.15,344.23,349.15
10-6-89,24.0%,43.0%,33.0%,100%,32.00%,-9.0%,37.9%,48.0%,27.9%,358.78,350.87,358.78
10-13-89,28.0%,52.0%,20.0%,100%,31.13%,8.0%,37.9%,48.0%,27.9%,359.80,333.65,333.65
10-20-89,39.0%,28.0%,33.0%,100%,30.38%,6.0%,37.9%,48.0%,27.9%,347.16,341.16,347.16
10-27-89,36.0%,33.0%,31.0%,100%,30.63%,5.0%,37.9%,48.0%,27.9%,344.83,335.06,335.06
11-3-89,37.0%,31.0%,32.0%,100%,31.50%,5.0%,37.9%,48.0%,27.9%,341.20,335.07,337.62
11-10-89,27.0%,37.0%,36.0%,100%,31.00%,-9.0%,37.9%,48.0%,27.9%,339.10,332.61,339.10
11-17-89,24.0%,28.0%,48.0%,100%,31.00%,-24.0%,37.9%,48.0%,27.9%,341.61,337.99,341.61
11-22-89,27.0%,40.0%,33.0%,100%,30.25%,-6.0%,37.9%,48.0%,27.9%,343.97,339.35,343.97
12-1-89,28.0%,40.0%,32.0%,100%,30.75%,-4.0%,37.9%,48.0%,27.9%,350.63,343.60,350.63
12-8-89,31.0%,41.0%,28.0%,100%,31.13%,3.0%,37.9%,48.0%,27.9%,351.41,347.59,348.69
12-15-89,42.0%,30.0%,28.0%,100%,31.50%,14.0%,37.9%,48.0%,27.9%,352.75,348.56,350.14
12-22-89,36.0%,32.0%,32.0%,100%,31.50%,4.0%,37.9%,48.0%,27.9%,347.42,342.46,347.42
12-29-89,35.0%,31.0%,34.0%,100%,31.25%,1.0%,37.9%,48.0%,27.9%,353.40,346.81,353.40
1-5-90,40.0%,30.0%,30.0%,100%,32.88%,10.0%,37.9%,48.0%,27.9%,359.69,352.20,352.20
1-12-90,45.0%,38.0%,17.0%,100%,35.50%,28.0%,37.9%,48.0%,27.9%,353.79,339.93,339.93
1-19-90,31.0%,49.0%,20.0%,100%,36.00%,11.0%,37.9%,48.0%,27.9%,340.75,337.00,339.15
1-26-90,24.0%,38.0%,38.0%,100%,35.50%,-14.0%,37.9%,48.0%,27.9%,331.61,325.80,325.80
2-2-90,15.0%,37.0%,48.0%,100%,33.50%,-33.0%,37.9%,48.0%,27.9%,330.92,322.98,330.92
2-9-90,19.0%,30.0%,51.0%,100%,30.63%,-32.0%,37.9%,48.0%,27.9%,333.75,329.66,333.62
2-16-90,23.0%,43.0%,34.0%,100%,29.00%,-11.0%,37.9%,48.0%,27.9%,334.89,330.08,332.72
2-23-90,24.0%,38.0%,38.0%,100%,27.63%,-14.0%,37.9%,48.0%,27.9%,327.99,324.15,324.15
3-2-90,21.0%,37.0%,42.0%,100%,25.25%,-21.0%,37.9%,48.0%,27.9%,335.54,328.67,335.54
3-9-90,22.0%,42.0%,36.0%,100%,22.38%,-14.0%,37.9%,48.0%,27.9%,340.27,333.74,337.93
3-16-90,25.0%,35.0%,40.0%,100%,21.63%,-15.0%,37.9%,48.0%,27.9%,341.91,336.00,341.91
3-23-90,37.0%,39.0%,24.0%,100%,23.25%,13.0%,37.9%,48.0%,27.9%,343.53,335.65,337.22
3-30-90,34.0%,35.0%,31.0%,100%,25.63%,3.0%,37.9%,48.0%,27.9%,342.00,337.63,339.94
4-6-90,38.0%,37.0%,25.0%,100%,28.00%,13.0%,37.9%,48.0%,27.9%,343.64,338.70,340.08
4-12-90,27.0%,56.0%,17.0%,100%,28.50%,10.0%,37.9%,48.0%,27.9%,344.34,341.37,344.34
4-20-90,34.0%,43.0%,23.0%,100%,29.75%,11.0%,37.9%,48.0%,27.9%,344.74,335.12,335.12
4-27-90,28.0%,35.0%,37.0%,100%,30.63%,-9.0%,37.9%,48.0%,27.9%,332.92,329.11,329.11
5-4-90,20.0%,35.0%,45.0%,100%,30.38%,-25.0%,37.9%,48.0%,27.9%,338.39,330.80,338.39
5-11-90,28.0%,38.0%,34.0%,100%,30.75%,-6.0%,37.9%,48.0%,27.9%,352.00,340.53,352.00
5-18-90,37.0%,35.0%,28.0%,100%,30.75%,9.0%,37.9%,48.0%,27.9%,354.75,354.00,354.64
5-25-90,39.0%,32.0%,29.0%,100%,31.38%,10.0%,37.9%,48.0%,27.9%,359.29,354.58,354.58
6-1-90,37.0%,28.0%,35.0%,100%,31.25%,2.0%,37.9%,48.0%,27.9%,363.16,360.65,363.16
6-8-90,35.0%,35.0%,30.0%,100%,32.25%,5.0%,37.9%,48.0%,27.9%,367.40,358.71,358.71
6-15-90,43.0%,32.0%,25.0%,100%,33.38%,18.0%,37.9%,48.0%,27.9%,366.25,361.63,362.91
6-22-90,34.0%,32.0%,34.0%,100%,34.13%,0.0%,37.9%,48.0%,27.9%,360.47,355.43,355.43
6-29-90,31.0%,31.0%,38.0%,100%,35.50%,-7.0%,37.9%,48.0%,27.9%,358.02,352.06,358.02
7-6-90,28.0%,34.0%,38.0%,100%,35.50%,-10.0%,37.9%,48.0%,27.9%,360.16,355.68,358.42
7-13-90,40.0%,30.0%,30.0%,100%,35.88%,10.0%,37.9%,48.0%,27.9%,367.31,356.49,367.31
7-20-90,40.0%,30.0%,30.0%,100%,36.00%,10.0%,37.9%,48.0%,27.9%,368.95,361.61,361.61
7-27-90,52.0%,24.0%,24.0%,100%,37.88%,28.0%,37.9%,48.0%,27.9%,357.09,353.44,353.44
8-3-90,26.0%,28.0%,46.0%,100%,36.75%,-20.0%,37.9%,48.0%,27.9%,356.15,344.86,344.86
8-10-90,25.0%,21.0%,54.0%,100%,34.50%,-29.0%,37.9%,48.0%,27.9%,339.94,334.43,335.52
8-17-90,18.0%,23.0%,59.0%,100%,32.50%,-41.0%,37.9%,48.0%,27.9%,340.06,327.83,327.83
8-24-90,25.0%,24.0%,51.0%,100%,31.75%,-26.0%,37.9%,48.0%,27.9%,328.51,307.06,311.51
8-31-90,23.0%,16.0%,61.0%,100%,31.13%,-38.0%,37.9%,48.0%,27.9%,324.19,318.71,322.56
9-7-90,33.0%,18.0%,49.0%,100%,30.25%,-16.0%,37.9%,48.0%,27.9%,324.39,320.46,323.40
9-14-90,16.0%,33.0%,51.0%,100%,27.25%,-35.0%,37.9%,48.0%,27.9%,322.54,316.83,316.83
9-21-90,13.0%,31.0%,56.0%,100%,22.38%,-43.0%,37.9%,48.0%,27.9%,318.60,311.32,311.32
9-28-90,26.0%,20.0%,54.0%,100%,22.38%,-28.0%,37.9%,48.0%,27.9%,308.26,300.97,306.05
10-5-90,15.0%,26.0%,59.0%,100%,21.13%,-44.0%,37.9%,48.0%,27.9%,315.21,311.40,311.50
10-12-90,21.0%,27.0%,52.0%,100%,21.50%,-31.0%,37.9%,48.0%,27.9%,313.48,295.46,300.03
10-19-90,13.0%,20.0%,67.0%,100%,20.00%,-54.0%,37.9%,48.0%,27.9%,312.48,298.76,312.48
10-26-90,23.0%,19.0%,58.0%,100%,20.00%,-35.0%,37.9%,48.0%,27.9%,314.76,304.71,304.71
11-2-90,20.0%,36.0%,44.0%,100%,18.38%,-24.0%,37.9%,48.0%,27.9%,311.85,301.88,311.85
11-9-90,20.0%,32.0%,48.0%,100%,18.88%,-28.0%,37.9%,48.0%,27.9%,314.59,306.01,313.74
11-16-90,12.0%,33.0%,55.0%,100%,18.75%,-43.0%,37.9%,48.0%,27.9%,320.40,317.02,317.12
11-21-90,16.0%,37.0%,47.0%,100%,17.50%,-31.0%,37.9%,48.0%,27.9%,319.34,315.10,316.03
11-30-90,22.0%,33.0%,45.0%,100%,18.38%,-23.0%,37.9%,48.0%,27.9%,322.22,316.42,322.22
12-7-90,26.0%,33.0%,41.0%,100%,19.00%,-15.0%,37.9%,48.0%,27.9%,329.92,324.10,327.75
12-14-90,31.0%,31.0%,38.0%,100%,21.25%,-7.0%,37.9%,48.0%,27.9%,330.19,326.44,326.82
12-21-90,16.0%,34.0%,50.0%,100%,20.38%,-34.0%,37.9%,48.0%,27.9%,331.75,326.02,331.75
12-28-90,30.0%,30.0%,40.0%,100%,21.63%,-10.0%,37.9%,48.0%,27.9%,330.85,328.29,328.72
1-4-91,31.0%,39.0%,30.0%,100%,23.00%,1.0%,37.9%,48.0%,27.9%,330.22,321.00,321.00
1-11-91,22.0%,30.0%,48.0%,100%,24.25%,-26.0%,37.9%,48.0%,27.9%,315.44,311.49,315.23
1-18-91,22.0%,27.0%,51.0%,100%,25.00%,-29.0%,37.9%,48.0%,27.9%,332.23,312.49,332.23
1-25-91,25.0%,25.0%,50.0%,100%,25.38%,-25.0%,37.9%,48.0%,27.9%,336.07,328.31,336.07
2-1-91,29.0%,29.0%,42.0%,100%,25.75%,-13.0%,37.9%,48.0%,27.9%,343.93,335.84,343.05
2-8-91,36.0%,28.0%,36.0%,100%,26.38%,0.0%,37.9%,48.0%,27.9%,359.35,343.05,359.35
2-15-91,46.0%,30.0%,24.0%,100%,30.13%,22.0%,37.9%,48.0%,27.9%,369.06,359.35,369.06
2-22-91,57.0%,20.0%,23.0%,100%,33.50%,34.0%,37.9%,48.0%,27.9%,369.39,365.14,365.65
3-1-91,50.0%,18.0%,32.0%,100%,35.88%,18.0%,37.9%,48.0%,27.9%,370.42,362.81,370.42
3-8-91,50.0%,21.0%,29.0%,100%,39.38%,21.0%,37.9%,48.0%,27.9%,376.72,369.33,374.95
3-15-91,55.0%,22.0%,23.0%,100%,43.50%,32.0%,37.9%,48.0%,27.9%,374.57,370.03,373.59
3-22-91,42.0%,31.0%,27.0%,100%,45.63%,15.0%,37.9%,48.0%,27.9%,372.11,366.58,367.48
3-29-91,47.0%,28.0%,25.0%,100%,47.88%,22.0%,37.9%,48.0%,27.9%,376.30,369.83,375.22
4-5-91,58.0%,22.0%,20.0%,100%,50.63%,38.0%,37.9%,48.0%,27.9%,379.77,371.30,375.36
4-12-91,43.0%,32.0%,25.0%,100%,50.25%,18.0%,37.9%,48.0%,27.9%,380.40,373.15,380.40
4-19-91,39.0%,39.0%,22.0%,100%,48.00%,17.0%,37.9%,48.0%,27.9%,390.45,381.19,384.20
4-26-91,55.0%,28.0%,17.0%,100%,48.63%,38.0%,37.9%,48.0%,27.9%,382.76,379.02,379.02
5-3-91,39.0%,33.0%,28.0%,100%,47.25%,11.0%,37.9%,48.0%,27.9%,380.80,373.66,380.80
5-10-91,38.0%,34.0%,28.0%,100%,45.13%,10.0%,37.9%,48.0%,27.9%,383.25,375.74,375.74
5-17-91,42.0%,32.0%,26.0%,100%,45.13%,16.0%,37.9%,48.0%,27.9%,376.76,368.57,372.39
5-24-91,38.0%,39.0%,23.0%,100%,44.00%,15.0%,37.9%,48.0%,27.9%,377.49,372.28,377.49
5-31-91,42.0%,35.0%,23.0%,100%,42.00%,19.0%,37.9%,48.0%,27.9%,389.83,381.94,389.83
6-7-91,46.0%,37.0%,17.0%,100%,42.38%,29.0%,37.9%,48.0%,27.9%,388.06,383.63,379.43
6-14-91,47.0%,31.0%,22.0%,100%,43.38%,25.0%,37.9%,48.0%,27.9%,382.29,376.65,382.29
6-21-91,44.0%,40.0%,16.0%,100%,42.00%,28.0%,37.9%,48.0%,27.9%,380.13,375.09,377.75
6-28-91,28.0%,37.0%,35.0%,100%,40.63%,-7.0%,37.9%,48.0%,27.9%,374.40,370.65,371.16
7-3-91,28.0%,39.0%,33.0%,100%,39.38%,-5.0%,37.9%,48.0%,27.9%,377.92,373.33,374.08
7-12-91,41.0%,39.0%,20.0%,100%,39.25%,21.0%,37.9%,48.0%,27.9%,380.25,375.74,380.25
7-19-91,27.0%,51.0%,22.0%,100%,37.88%,5.0%,37.9%,48.0%,27.9%,385.83,380.25,384.22
7-26-91,35.0%,42.0%,23.0%,100%,37.00%,12.0%,37.9%,48.0%,27.9%,384.86,378.15,380.93
8-2-91,33.0%,36.0%,31.0%,100%,35.38%,2.0%,37.9%,48.0%,27.9%,389.56,380.45,387.18
8-9-91,26.0%,45.0%,29.0%,100%,32.75%,-3.0%,37.9%,48.0%,27.9%,391.80,384.29,387.12
8-16-91,37.0%,33.0%,30.0%,100%,31.88%,7.0%,37.9%,48.0%,27.9%,391.92,382.59,385.58
8-23-91,32.0%,36.0%,32.0%,100%,32.38%,0.0%,37.9%,48.0%,27.9%,395.34,374.09,394.17
8-30-91,41.0%,40.0%,19.0%,100%,34.00%,22.0%,37.9%,48.0%,27.9%,396.82,391.77,395.43
9-6-91,36.0%,31.0%,33.0%,100%,33.38%,3.0%,37.9%,48.0%,27.9%,397.62,387.36,389.10
9-13-91,43.0%,39.0%,18.0%,100%,35.38%,25.0%,37.9%,48.0%,27.9%,389.34,382.85,383.59
9-20-91,32.0%,48.0%,20.0%,100%,35.00%,12.0%,37.9%,48.0%,27.9%,389.42,382.77,387.92
9-27-91,31.0%,38.0%,31.0%,100%,34.75%,0.0%,37.9%,48.0%,27.9%,389.09,384.46,385.90
10-4-91,35.0%,30.0%,35.0%,100%,35.88%,0.0%,37.9%,48.0%,27.9%,390.03,381.24,381.24
10-11-91,39.0%,37.0%,24.0%,100%,36.13%,15.0%,37.9%,48.0%,27.9%,381.46,376.11,381.45
10-18-91,30.0%,31.0%,39.0%,100%,35.88%,-9.0%,37.9%,48.0%,27.9%,393.81,381.45,392.50
10-25-91,31.0%,36.0%,33.0%,100%,34.63%,-2.0%,37.9%,48.0%,27.9%,392.50,382.97,384.20
11-1-91,52.0%,12.0%,36.0%,100%,36.63%,16.0%,37.9%,48.0%,27.9%,395.10,384.20,391.32
11-8-91,32.0%,36.0%,32.0%,100%,35.25%,0.0%,37.9%,48.0%,27.9%,396.43,388.09,392.89
11-15-91,38.0%,33.0%,29.0%,100%,36.00%,9.0%,37.9%,48.0%,27.9%,398.22,382.62,382.62
11-22-91,48.0%,32.0%,20.0%,100%,38.13%,28.0%,37.9%,48.0%,27.9%,385.40,374.52,376.14
11-27-91,33.0%,27.0%,40.0%,100%,37.88%,-7.0%,37.9%,48.0%,27.9%,378.11,375.22,376.55
12-6-91,23.0%,32.0%,45.0%,100%,35.88%,-22.0%,37.9%,48.0%,27.9%,382.39,375.41,379.10
12-13-91,33.0%,36.0%,31.0%,100%,36.25%,2.0%,37.9%,48.0%,27.9%,385.04,374.78,384.47
12-20-91,36.0%,30.0%,34.0%,100%,36.88%,2.0%,37.9%,48.0%,27.9%,388.24,380.64,387.04
12-27-91,39.0%,29.0%,32.0%,100%,35.25%,7.0%,37.9%,48.0%,27.9%,406.58,386.96,406.46
1-3-92,49.0%,20.0%,31.0%,100%,37.38%,18.0%,37.9%,48.0%,27.9%,419.79,406.46,419.34
1-10-92,48.0%,27.0%,25.0%,100%,38.63%,23.0%,37.9%,48.0%,27.9%,420.50,413.31,415.10
1-17-92,51.0%,21.0%,28.0%,100%,39.00%,23.0%,37.9%,48.0%,27.9%,420.77,414.34,418.86
1-24-92,46.0%,25.0%,29.0%,100%,40.63%,17.0%,37.9%,48.0%,27.9%,418.13,412.64,415.48
1-31-92,47.0%,26.0%,27.0%,100%,43.63%,20.0%,37.9%,48.0%,27.9%,410.34,414.99,408.79
2-7-92,36.0%,39.0%,25.0%,100%,44.00%,11.0%,37.9%,48.0%,27.9%,413.85,409.53,411.09
2-14-92,46.0%,28.0%,26.0%,100%,45.25%,20.0%,37.9%,48.0%,27.9%,417.13,413.69,412.48
2-21-92,47.0%,25.0%,28.0%,100%,46.25%,19.0%,37.9%,48.0%,27.9%,413.90,407.38,411.46
2-28-92,43.0%,36.0%,21.0%,100%,45.50%,22.0%,37.9%,48.0%,27.9%,416.07,408.02,412.70
3-6-92,45.0%,29.0%,26.0%,100%,45.13%,19.0%,37.9%,48.0%,27.9%,413.78,403.65,404.44
3-13-92,38.0%,35.0%,27.0%,100%,43.50%,11.0%,37.9%,48.0%,27.9%,409.16,404.72,405.84
3-20-92,48.0%,29.0%,23.0%,100%,43.75%,25.0%,37.9%,48.0%,27.9%,411.30,406.39,411.30
