Symbol,Name,"10Y %Chg",Last,Change,%Chg,"10Y Chg","10Y High","10Y Low","Avg Vol",Time
IMMU,"Immunomedics Inc","+2,540.19%",85.36,0.61,+0.72%,81.54,86.91,1.5,6650075,09/16/20
LSCC,"Lattice Semicond",+513.47%,28.92,-0.22,-0.75%,24.39,31.93,3.16,919740,09/16/20
XPEL,"Xpel Technologies","+68,550.00%",27.14,-0.32,-1.17%,27.42,30.29,0.01,218285,09/16/20
APT,"Alpha Pro Tech",+804.38%,14.07,-0.4,-2.76%,12.87,41.59,0.93,1094445,09/16/20
BLDP,"Ballard Power Sys",+813.17%,15.61,0.36,+2.36%,13.58,21.61,0.56,5249030,09/16/20
CELH,"Celsius Holdings Inc","+1,519.26%",21.2,-0.66,-3.02%,20.51,26.76,0.14,830985,09/16/20
ZYXI,"Zynex Inc","+3,033.33%",16.01,0.03,+0.19%,15.47,29.73,0.06,720805,09/16/20
KRMD,"Repro Med Sys Inc","+5,177.22%",7.73,-0.17,-2.15%,7.75,12.84,0.07,312235,09/16/20
OTRK,"Ontrak Inc.","+2,394.10%",61.8,-10.03,-13.96%,68.95,83.34,0.28,1067625,09/16/20
GRVY,"Gravity Co. Ltd","+1,844.00%",129.46,12.82,+10.99%,110.64,134,1.5,63025,09/16/20
TSLA,"Tesla Inc","+10,918.13%",441.76,-8,-1.78%,445.68,502.49,4,90562195,09/16/20
APPS,"Digital Turbine","+1,370.26%",32.23,3.56,+12.42%,26.72,32.37,0.56,6120505,09/16/20
"Downloaded from Barchart.com as of 09-16-2020 10:07pm CDT"
