ticker,52WeekChange_imputed,Avg Volume_imputed,Beta_imputed,Cash/sh_imputed,Current Ratio_imputed,Debt/Eq_imputed,EPS next 5Y_imputed,EPS next Q_imputed,EPS next Y_imputed,Employees_imputed,Forward P/E_imputed,Insider Own_imputed,Insider Trans_imputed,LT Debt/Eq_imputed,Market Cap_imputed,P/E_imputed,P/FCF_imputed,Perf Half Y_imputed,Perf Month_imputed,Perf Quarter_imputed,Quick Ratio_imputed,Recom_imputed,Sales Q/Q_imputed,SandP52WeekChange_imputed,Short Ratio_imputed,ask_imputed,dayHigh_imputed,enterpriseToEbitda_imputed,fiftyDayAverage_imputed,fiftyTwoWeekLow_imputed,forwardPE_imputed,open_imputed,pegRatio_imputed,previousClose_imputed,priceToSalesTrailing12Months_imputed,regularMarketDayHigh_imputed,regularMarketDayLow_imputed,regularMarketOpen_imputed,regularMarketPreviousClose_imputed,regularMarketPrice_imputed,shortRatio_imputed,twoHundredDayAverage_imputed
PLM,0.2571429,2910000000.0,0.56,0.07,1.2,0.07,0.2,-0.01,0.0,21.0,12.33,0.22,0.0,0.07,231840000000.0,102.44,0.22,0.28350000000000003,-0.242,-0.23329999999999998,1.2,2.0,0.0,0.15022206,0.23,3.66,4.0788,-32.097,4.336571,1.5,-122.66667,4.01,-1.99,4.4,0.06942094,4.0788,3.5,4.01,4.4,4.01,0.26,3.3186955
RENN,-0.45348895,1550000000.0,1.53,0.25,0.7,0.3,0.2,-0.1,0.0,820.0,12.33,0.5007,0.0,0.0,32130000000.000004,102.44,0.22,0.1812,-0.563,-0.7484000000000001,0.5,2.0,1.995,0.15022206,1.68,1.16,1.4,-0.79,2.5114286,0.45,-1.6164383,1.4,-0.04,1.41,0.10345507,1.4,1.08,1.4,1.41,1.4,2.09,2.3144927
RETO,-0.3240741,1190000000.0,1.59,0.0,0.1,0.0,0.2,-0.06,-0.536,235.0,12.33,0.5044,0.0,0.0,14840000000.0,3.64,0.22,-0.1067,-0.2591,-0.3064,0.1,3.0,-0.033,0.15022206,0.04,0.6519,0.6599,11.973,0.8087429,0.3,17.275,0.6111,0.01,0.73,0.3934893,0.6599,0.56,0.6111,0.73,0.6111,0.04,0.80052173
RIG,-0.7559198,28460000000.0,2.39,2.53,2.1,0.82,0.048,-0.14,-0.267,6600.0,1.77,0.0575,0.0005,0.77,566100000000.0,102.44,0.22,-0.4396,-0.5446,-0.6434000000000001,1.8,3.6,0.22699999999999998,0.15022206,4.44,1.02,1.24,7.574,1.8534286,0.76,-0.93577975,1.23,-0.32,1.34,0.19200772,1.24,1.01,1.23,1.34,1.23,4.92,1.7742753
SBBP,0.22996521,1550000000.0,1.72,0.9,3.4,0.15,0.2,-0.14,0.16899999999999998,71.0,12.33,0.015,0.0,0.14,156740000000.0,102.44,0.22,0.1371,-0.295,-0.2145,3.3,1.4,0.27899999999999997,0.15022206,1.53,2.82,3.37,-2.935,3.7322857,1.43,-5.7551017,3.22,-0.3,3.53,5.9587903,3.37,2.74,3.22,3.53,3.22,1.68,3.1006522
SLCA,-0.5794481,1500000000.0,2.83,2.21,2.1,2.07,0.2,-0.35,-0.069,2177.0,1.77,0.036000000000000004,0.0908,2.01,278480000000.0,102.44,0.22,1.3937,-0.0279,-0.0815,1.6,3.1,-0.563,0.15022206,7.73,3.83,4.295,11.648,3.9974287,0.79,-3.5462961,4.25,0.01,4.42,0.24759263,4.295,3.8,4.25,4.42,4.25,0.08,2.9974637
TMDI,-0.5952381,2370000000.0,1.59,0.0,1.0,0.0,0.2,-0.1,0.0,2.0,12.33,0.0017000000000000001,0.0,0.0,61140000000.0,3.64,0.22,1.7778,-0.0674,-0.4,0.1,2.0,-0.033,0.15022206,1.57,0.7401,0.8377,-2.65,0.8305714,0.12,17.275,0.8,-0.04,0.8454,5.778923,0.8377,0.714,0.8,0.8454,0.8,0.6,0.5713043
VET,-0.7783344,1250000000.0,1.59,0.0,0.1,0.0,0.22760000000000002,0.11,0.35600000000000004,8.0,4.66,0.022799999999999997,0.0,0.0,497060000000.0,3.64,0.22,-0.2748,-0.2991,-0.5462,0.1,2.0,-0.547,0.15022206,0.03,3.14,3.42,-4.081,4.3234286,1.5,5.147541,3.41,3.96,3.54,0.06942094,3.42,3.13,3.41,3.54,3.41,5.47,4.8526087
VUZI,0.9511111,2530000000.0,2.15,0.29,8.1,0.06,0.2,-0.13,0.214,88.0,15.7,0.065,0.0,0.03,162010000000.0,102.44,0.22,1.837,-0.0425,0.6437999999999999,5.9,2.2,0.364,0.15022206,2.03,3.89,4.38,-7.272,3.923143,0.86,-8.704545,4.18,-0.39,4.39,19.451437,4.38,3.82,4.18,4.39,4.18,2.09,2.5076087
VVPR,7.536764,2310000000.0,4.95,0.24,1.0,1.46,0.2,-0.1,0.0,204.0,15.7,0.8128,0.0,1.39,102840000000.0,102.44,9.02,9.3957,3.7415,6.4769000000000005,1.3,2.0,0.625,0.15022206,0.04,9.82,13.75,29.996,3.6542,0.59,17.275,10.37,-0.04,11.61,1.9804318,13.75,9.5,10.37,11.61,10.37,0.2,1.717442
AEHR,0.5463917,2230000000.0,1.59,0.23,4.6,0.12,0.2,-0.05,0.0,71.0,15.7,0.054000000000000006,0.0,0.07,27970000000.0,102.44,0.22,1.3781,-0.34909999999999997,1.3784999999999998,2.5,2.0,-0.47200000000000003,0.11026919,0.01,2.25,1.84,-4.081,0.7605343,1.1,13.8,1.81,1.04,2.27,0.06942094,1.84,1.34,1.81,2.27,1.81,0.74,12.840109
AGTC,0.5463917,1550000000.0,1.59,0.0,6.4,0.14,0.2,-0.1,0.0,83.0,12.33,0.003,0.0,0.14,27970000000.0,102.44,0.22,1.3781,-0.1085,1.3784999999999998,6.4,1.7,0.0,0.11026919,0.03,0.5088,0.55,-4.081,5.5335712,0.25,17.275,0.55,-0.04,4.08,0.06942094,0.55,2.66,0.55,4.08,0.55,0.04,12.840109
AHT,0.5463917,1550000000.0,1.59,13.62,1.1,0.0,0.05,-15.0,0.43700000000000006,116.0,12.33,0.044000000000000004,0.3145,0.0,27970000000.0,102.44,0.22,-0.8005,-0.4537,1.3784999999999998,1.1,2.8,-0.8959999999999999,0.11079204,1.44,2.49,2.49,25.753,3.4768572,2.32,-0.10188216,2.4,-0.01,2.93,0.02227858,2.49,2.22,2.4,2.93,2.4,1.48,12.840109
BIOC,-0.39080465,2660000000.0,0.92,1.82,5.2,0.1,0.4,-0.47,0.3,88.0,12.33,0.0003,-0.023399999999999997,0.05,649700000000.0,102.44,0.22,0.24539999999999998,-0.5624,-0.17800000000000002,5.0,2.0,-0.25,0.11026919,0.15,4.54,4.84,-2.193,0.78114283,2.1,-31.571428,4.605,-0.05,4.42,9.366139,4.84,4.27,4.605,4.42,4.605,0.16,5.5030437
CODX,0.5463917,1550000000.0,1.59,0.71,11.6,0.0,0.15,0.63,0.42460000000000003,37.0,5.53,0.2421,-0.0129,0.0,27970000000.0,79.67,0.22,1.3781,1.7558,1.3784999999999998,8.2,2.0,454.449,0.11026919,2.12,8.4,11.08,38.437,18.279572,1.5,17.275,0.55,0.01,11.7,0.06942094,11.08,9.56,0.55,11.7,0.55,1.59,12.840109
GEVO,-0.63522017,33729999999.999996,2.74,0.08,0.7,0.26,0.25,-0.1,0.8370000000000001,57.0,12.33,0.066,0.0,0.01,72620000000.0,102.44,0.22,-0.0877,0.7888,-0.2353,0.6,2.0,-0.804,0.15022206,0.1,1.04,1.11,-3.486,0.8157143,0.46,-6.5,1.08,-0.04,1.16,4.42183,1.11,1.03,1.08,1.16,1.08,0.36,0.9923188
MCFT,0.23068488,1550000000.0,1.59,0.89,1.0,0.0,0.1,-0.1,0.0,8.0,8.1,0.019,0.0,2.04,27970000000.0,102.44,22.93,1.3781,-0.20199999999999999,1.3784999999999998,0.6,2.2,0.0,0.11026919,3.18,2.25,0.75,-4.081,0.7605343,1.5,10.596492,2.4,0.01,2.27,0.06942094,0.75,2.66,2.4,2.27,0.55,0.08,12.840109
NETE,0.5463917,1520000000.0,1.5,0.2,0.8,3.54,0.2,-0.09,0.494,82.0,12.33,0.021,0.0,3.21,52230000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,0.8,3.0,-0.17,0.11026919,0.05,7.1,8.69,-4.081,0.7605343,1.47,-113.25,0.55,0.01,7.74,0.4956205,8.69,2.66,0.55,7.74,0.55,0.08,12.840109
NEXT,0.5463917,1190000000.0,-0.12,0.29,2.7,0.0,0.006,-0.06,0.14800000000000002,74.0,12.33,0.002,0.0,0.0,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,1.2,3.1,0.0,0.11079204,1.04,2.98,3.81,-4.081,1.5124285,1.115,17.275,3.81,-8.02,2.33,0.06942094,3.81,2.66,3.81,2.33,3.81,5.14,12.840109
PLM,0.2571429,2910000000.0,0.56,0.07,1.2,0.07,0.2,-0.01,0.0,21.0,12.33,0.22,0.0,0.07,231840000000.0,102.44,0.22,0.20739999999999997,-0.242,-0.23329999999999998,1.2,2.0,0.0,0.11079204,0.23,3.4,3.63,-24.159,4.336571,1.5,-122.66667,4.01,-1.99,4.4,0.06942094,3.63,3.5,4.01,4.4,4.01,0.26,3.3186955
RETO,-0.3240741,4040000000.0,1.59,0.0,0.1,0.0,0.2,-0.08,0.0,235.0,12.33,0.5044,0.0,0.0,11720000000.0,3.64,0.22,-0.1067,-0.2591,-0.3064,0.1,2.0,-0.033,0.11026919,0.04,0.6519,0.6599,11.973,0.8087429,0.3,17.275,0.57,0.01,0.73,0.3934893,0.6599,0.56,0.57,0.73,0.57,0.04,0.79918116
SEAC,-0.56209147,2230000000.0,0.45,0.26,2.3,0.06,0.2,-0.13,0.0,2.0,149.8,0.001,0.0,0.03,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,1.3,2.5,0.0,0.11026919,0.01,2.25,1.25,-4.081,1.4385715,0.46,17.275,1.08,-0.1,1.34,0.06942094,1.25,1.01,1.08,1.34,0.55,2.83,12.840109
STON,0.5463917,2230000000.0,1.59,0.23,1.9,0.0,0.13,-0.06,0.0,2.0,12.33,0.011000000000000001,0.0,0.0,27970000000.0,3.64,0.22,-0.3558,1.7558,-0.20350000000000001,1.9,3.0,0.0,0.11026919,0.1,0.5088,0.75,-4.081,0.7605343,0.46,17.275,0.55,-0.04,1.11,0.06942094,0.75,2.66,0.55,1.11,0.55,0.43,12.840109
VVPR,7.536764,2310000000.0,4.95,0.24,1.0,1.46,0.2,-0.1,0.0,204.0,12.33,0.8128,0.0,1.39,102840000000.0,102.44,0.22,9.3957,2.5586,6.4769000000000005,1.3,2.0,0.625,0.11026919,0.04,9.82,13.75,29.996,3.6542,0.59,17.275,7.99,0.01,11.61,1.9804318,13.75,7.53,7.99,11.61,7.99,0.2,1.717442
AHT,0.5463917,1550000000.0,1.59,13.62,2.1,0.0,0.05,-15.0,0.43700000000000006,116.0,12.33,0.044000000000000004,0.3145,0.0,20620000000.0,102.44,0.22,-0.8005,-0.4537,1.3784999999999998,1.2,2.8,-0.8959999999999999,0.12938392,1.44,2.24,2.49,25.753,3.4768572,2.32,-0.10188216,2.4,-0.01,2.49,0.02227858,2.49,2.22,2.4,2.49,2.4,1.48,12.840109
ATNX,-0.060185194,1150000000.0,1.59,0.0,3.2,0.0,0.2,-0.43,0.159,2.0,149.8,0.079,0.0253,0.0,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,2.8,1.7,0.0,0.12938392,0.04,11.07,0.55,-4.081,0.7605343,0.25,17.275,0.55,0.26,4.08,6.4355817,0.55,2.66,0.55,4.08,0.55,0.08,12.840109
BPT,-0.79605263,1550000000.0,1.59,0.02,2.1,0.0,0.2,-0.08,0.0,2.0,12.33,0.01,0.0,0.0,27970000000.0,1.24,9.02,1.3781,-0.41090000000000004,1.3784999999999998,1.3,2.0,0.0,0.12938392,0.02,1.6,0.75,-4.081,0.7605343,0.25,17.275,1.81,-0.04,1.86,0.06942094,0.75,1.58,1.81,1.86,1.81,0.2,12.840109
CDEV,-0.13684213,11040000000.0,6.71,0.03,0.5,0.4,0.2,-0.21,0.0,2.0,12.33,0.035,0.0,0.4,27970000000.0,3.64,0.5,1.3781,1.7558,1.3784999999999998,0.5,3.2,-0.8029999999999999,0.12938392,1.99,0.5088,0.75,3.32,0.7605343,0.235,17.275,0.57,0.01,2.27,0.06942094,0.75,3.5,0.57,2.27,0.57,0.08,12.840109
FCEL,0.5463917,1550000000.0,2.19,0.23,2.7,2.11,0.15,-0.06,0.0,301.0,15.7,0.001,0.0,1.92,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,1.7,3.2,-0.17600000000000002,0.12938392,2.91,2.25,2.28,-4.081,0.7605343,0.23,-9.304348,2.19,-0.43,2.63,0.06942094,2.28,2.13,2.19,2.63,2.19,0.08,12.840109
GME,0.5463917,1550000000.0,1.11,0.02,1.1,1.34,0.2,-0.85,0.0,14000.0,15.7,0.075,0.0,0.61,27970000000.0,102.44,2.54,1.3781,1.7558,1.3784999999999998,0.7,3.0,-0.563,0.12938392,0.01,0.5088,14.8,-4.081,0.7605343,0.25,311.5,0.55,0.1,7.9,0.06942094,14.8,2.66,0.55,7.9,0.55,0.04,12.840109
GRIL,0.5463917,1550000000.0,1.59,0.3,1.1,0.34,0.2,-0.08,0.0,380.0,12.33,0.086,0.0,0.18,27970000000.0,102.44,0.22,1.3781,1.7558,-0.23579999999999998,1.0,2.0,-0.071,0.12938392,0.55,1.95,2.25,-4.081,0.7605343,1.42,17.275,2.2,0.01,2.45,0.06942094,2.25,1.85,2.2,2.45,2.2,0.21,2.361957
IEA,0.27692306,1550000000.0,1.04,0.0,1.2,0.0,0.08,0.16,3.0,2.0,19.81,0.086,0.0,0.0,27970000000.0,50.32,2.14,1.3781,1.7558,1.3784999999999998,1.3,2.0,0.0,0.12938392,0.11,5.15,0.75,4.031,0.7605343,0.25,17.275,1.81,0.01,2.27,0.06942094,0.75,2.66,1.81,4.08,1.81,0.13,12.840109
MBI,0.5463917,1550000000.0,1.04,0.07,1.2,0.0,0.1,-0.42,0.159,28.0,149.8,0.113,-0.021400000000000002,12.75,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,0.6,2.7,0.0,0.12938392,0.04,6.42,0.75,-4.081,7.9934287,0.25,17.275,1.08,-0.37,4.08,0.06942094,0.75,2.66,1.08,4.08,0.55,0.08,12.840109
MICT,0.5463917,1240000000.0,1.35,0.74,1.1,2.16,0.2,-0.1,0.871,53.0,12.33,0.233,0.0,0.0,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,0.9,2.0,0.0,0.11079204,0.35,3.12,5.105,-4.081,0.7605343,0.38,17.275,1.81,0.01,3.85,0.06942094,5.105,4.7,1.81,3.85,0.55,1.02,1.8973669
MTDR,0.5463917,1550000000.0,1.59,0.18,0.7,0.0,0.10400000000000001,-0.06,0.0,2.0,13.93,0.018000000000000002,0.4094,1.06,27970000000.0,102.44,1.85,3.0446,1.7558,1.3784999999999998,0.6,2.2,0.0,0.12938392,0.04,0.5088,0.75,-4.081,0.7605343,0.25,17.275,0.55,6.46,7.74,0.06942094,0.75,8.16,0.55,7.74,9.05,0.2,7.343957
OAS,-0.86616164,20990000000.0,3.79,0.19,1.2,0.0,0.1011,-0.07,-0.258,609.0,12.33,0.015,0.0,0.0,83800000000.0,3.64,0.22,-0.0414,-0.4959,-0.6379,1.1,3.7,-0.6859999999999999,0.12938392,3.05,0.44,0.3,3.371,0.7605343,0.24,-0.6672727,0.55,-0.41,4.08,0.10007097,0.3,0.19,0.55,4.08,0.236,3.97,12.840109
PDCE,0.5463917,1360000000.0,3.2,0.01,0.8,0.73,0.272,0.56,0.0,2.0,6.65,0.002,0.0375,0.73,1150000000.0,102.44,1.58,1.3781,1.7558,1.3784999999999998,0.8,1.8,0.0,0.12938392,0.04,0.5088,0.75,-4.081,0.7605343,0.25,17.275,1.81,-0.11,2.27,0.06942094,0.75,2.66,1.81,2.27,0.55,0.2,12.840109
PRPO,0.5463917,1550000000.0,1.59,0.03,0.4,0.09,0.2,-0.2,0.0,50.0,15.7,0.001,0.0,0.06,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,0.4,2.0,0.0,0.12938392,0.33,2.18,2.4,-4.081,0.7605343,0.55,-7.064516,2.4,-0.09,2.86,0.06942094,2.4,2.66,2.4,2.86,0.55,0.14,12.840109
SM,0.5463917,5090000000.0,1.59,0.0,1.2,1.08,0.2,-0.28,-1.952,2.0,1.77,0.02,0.0,1.08,27970000000.0,102.44,0.19,1.3781,1.7558,1.3784999999999998,1.2,2.9,0.0,0.12938392,2.81,1.92,1.24,2.477,0.7605343,0.9,17.275,0.55,-0.02,2.1,0.06942094,1.24,1.81,0.55,2.1,0.55,0.08,12.840109
SPRO,0.028537035,1250000000.0,1.59,2.86,4.5,0.0,0.369,-0.87,0.062,57.0,15.7,0.003,-0.0556,0.0,27970000000.0,102.44,0.22,1.3781,1.7558,-0.1707,4.5,1.6,-0.22699999999999998,0.12938392,5.76,0.5088,0.75,-4.081,11.968286,0.25,-2.8976607,1.81,-0.09,2.27,0.06942094,0.75,2.66,1.81,2.27,0.55,0.08,12.840109
STRO,0.5463917,1150000000.0,2.51,0.0,7.3,0.12,0.2,-0.55,0.0,2.0,149.8,0.006,-0.6587000000000001,0.12,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,7.3,1.7,0.0,0.12938392,0.01,0.5088,0.55,-4.081,0.7605343,0.25,-4.296875,1.81,0.01,4.08,0.06942094,0.55,2.66,1.81,2.27,0.55,0.04,12.840109
STSA,0.38106513,1550000000.0,1.59,5.41,15.1,0.04,0.2,-0.7,-0.092,20.0,12.33,0.001,-0.47850000000000004,0.02,27970000000.0,3.64,0.22,-0.7231000000000001,1.7558,1.3784999999999998,15.1,2.8,0.0,0.12938392,0.29,0.5088,0.55,-7.323,0.7605343,4.55,17.275,0.55,0.01,4.08,0.06942094,0.55,2.66,0.55,4.08,0.55,3.6,12.840109
TRQ,0.5463917,1190000000.0,2.03,0.7,3.6,0.45,0.02,0.02,0.0,15.0,4.04,0.001,0.0,0.45,1760000000.0,4.81,0.22,1.1484,1.7558,1.3784999999999998,3.3,3.0,0.0,0.12938392,0.01,0.5088,0.75,-4.081,0.7605343,0.3,17.275,0.55,19.65,1.13,0.06942094,0.75,2.66,0.55,1.13,0.55,0.07,0.6719425
VVPR,7.536764,2310000000.0,4.95,0.24,1.0,1.46,0.2,-0.1,0.0,204.0,12.33,0.8128,0.0,1.39,102840000000.0,102.44,0.22,9.3957,3.7415,6.4769000000000005,1.3,2.0,0.625,0.12938392,0.04,9.82,13.75,29.996,3.6542,0.59,17.275,7.99,0.01,7.9,1.9804318,13.75,9.5,7.99,7.9,7.99,0.2,1.717442
YJ,0.5463917,1550000000.0,1.59,0.0,1.7,0.0,0.2,-0.04,0.0,2.0,5.82,0.019,0.0,0.0,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,1.5,3.0,0.0,0.11079204,0.03,0.5088,2.27,-4.081,0.7605343,1.92,17.275,2.25,-0.04,2.25,0.06942094,2.27,1.92,2.25,2.25,2.25,0.07,12.840109
ADMS,0.5463917,1240000000.0,1.59,0.0,5.8,0.0,0.46299999999999997,-0.1,0.159,53.0,12.33,0.02,0.0,0.0,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,1.2,2.2,0.0,0.1103282,1.56,0.5088,0.55,-4.081,0.7605343,0.25,17.275,1.81,-0.06,4.08,0.06942094,0.55,2.66,1.81,4.08,1.81,0.84,12.840109
AHT,0.5463917,1550000000.0,1.59,13.62,2.1,0.0,0.05,-15.0,0.43700000000000006,116.0,12.33,0.044000000000000004,0.3145,0.0,20620000000.0,102.44,0.22,-0.8005,-0.4537,1.3784999999999998,1.6,2.8,-0.8959999999999999,0.1103282,1.44,1.93,2.49,25.753,3.4768572,1.93,-0.08101473,2.25,-0.01,2.49,0.019692674,2.49,2.22,2.25,2.49,2.25,1.94,12.840109
AIKI,0.5463917,4490000000.0,1.59,0.8,30.2,0.0,0.2,-0.1,0.0,3.0,12.33,0.001,0.0,0.0,27970000000.0,3.64,0.22,1.3781,1.7558,1.3784999999999998,30.2,3.0,-0.987,0.1103282,0.04,0.5088,0.75,-4.081,0.7605343,0.25,17.275,0.55,0.01,4.08,0.06942094,0.75,2.66,0.55,4.08,0.55,0.46,12.840109
AMPY,0.5463917,3680000000.0,1.59,0.34,1.3,13.4,0.15,0.08,0.0,230.0,12.33,0.001,0.0,12.46,27970000000.0,102.44,0.22,1.3781,1.7558,-0.5044,1.3,3.0,0.0,0.1103282,3.18,0.5088,0.95,-4.081,0.7605343,0.25,-1.1964285,0.95,0.49,2.27,0.06942094,0.95,0.75,0.95,2.27,0.95,0.08,12.840109
AMRS,0.5463917,1250000000.0,1.59,0.48,1.5,0.0,0.3,-0.17,0.0,53.0,12.33,0.006999999999999999,0.0,0.0,27970000000.0,3.64,0.22,0.2663,1.7558,1.3784999999999998,1.2,1.5,0.0,0.1103282,0.01,2.35,0.75,-4.081,0.7605343,1.5,17.275,3.15,-0.08,3.14,0.06942094,0.75,2.22,3.15,3.14,3.15,9.4,3.4208572
AVGR,0.5463917,3680000000.0,1.59,0.19,1.4,0.0,0.2,-0.11,0.467,7.0,12.33,0.002,0.0,0.17,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,1.1,2.5,0.0,0.1103282,0.2,0.5088,0.55,-4.081,0.7605343,0.25,17.275,0.55,0.01,4.08,0.06942094,0.55,2.66,0.55,4.08,0.55,0.09,12.840109
BRY,0.5463917,1550000000.0,1.59,0.0,1.7,0.0,0.15,0.18,0.0,355.0,12.33,0.006999999999999999,1.4680000000000002,0.5,27970000000.0,102.44,1.29,0.377,1.7558,1.3784999999999998,1.5,2.6,-0.8029999999999999,0.10953009,4.45,0.5088,3.81,-4.081,0.7605343,1.82,17.275,3.9,0.42,4.03,0.06942094,3.81,3.5,3.9,4.03,3.9,0.08,12.840109
CRBP,0.7257463,2820000000.0,1.92,0.75,2.1,0.0,0.2,-0.42,0.023,141.0,12.33,0.004,0.08070000000000001,0.0,184780000000.0,102.44,0.22,-0.5099,-0.7356,-0.6819,2.1,2.7,-0.99,0.1103282,3.99,1.92,2.3,-5.879,7.5274286,1.81,-1.2890173,2.3,0.01,2.27,25.266964,2.3,1.81,2.3,2.27,2.3,9.07,6.5185356
DPW,0.5463917,3370000000.0,3.61,0.24,0.4,4.07,0.2,-0.08,0.0,29.0,15.7,0.098,0.0,0.27,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,0.3,2.0,0.08,0.1103282,0.09,1.95,0.75,-4.081,0.7605343,0.53,17.275,2.22,0.01,2.27,0.06942094,0.75,1.91,2.22,2.27,2.22,0.1,12.840109
EVFM,-0.3129921,4059999999.9999995,0.36,1.63,2.1,0.65,0.2,-0.44,0.467,53.0,12.33,0.02,0.0,0.0,259310000000.0,102.44,0.22,-0.40869999999999995,0.061399999999999996,-0.07719999999999999,2.0,2.0,0.0,0.11079204,2.85,2.18,3.46,-3.057,3.0934286,2.73,-2.9619048,2.36,-0.02,3.49,0.06942094,3.46,2.03,2.36,3.49,2.36,1.33,4.1342754
FARM,0.5463917,1150000000.0,2.51,0.0,2.7,0.0,0.3,-0.16,0.0,8.0,12.33,0.02,0.0,1.09,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,1.7,3.0,0.0,0.1103282,0.04,0.5088,0.75,-4.081,0.7605343,0.25,17.275,5.65,-0.54,4.08,0.06942094,0.75,2.66,5.65,4.08,5.65,0.17,12.840109
FRGI,0.5463917,1150000000.0,1.59,0.0,1.8,1.05,0.13,-0.04,0.0,2.0,78.86,0.026000000000000002,0.0,0.0,296210000000.0,102.44,5.78,1.3781,1.7558,1.3784999999999998,1.7,2.5,0.0,0.1103282,0.01,0.5088,0.75,-4.081,0.7605343,0.9,17.275,1.81,-3.97,12.9,0.06942094,0.75,1.01,1.81,12.9,0.55,0.08,12.840109
GRIL,0.5463917,1190000000.0,1.59,0.3,1.1,0.34,0.2,-0.08,0.0,380.0,12.33,0.086,0.0,0.18,27970000000.0,102.44,0.22,1.3781,1.7558,-0.23579999999999998,1.0,2.0,-0.071,0.1103282,0.55,1.66,2.25,-4.081,0.7605343,1.42,17.275,2.2,0.01,2.45,0.06942094,2.25,1.58,2.2,2.45,2.2,0.26,2.361957
GROW,0.5463917,1550000000.0,2.65,0.0,5.2,0.02,0.2,-0.1,0.0,21.0,12.33,0.008,0.0,0.0,27970000000.0,102.44,0.22,1.3781,-0.1429,1.3784999999999998,5.2,2.0,0.0,0.1103282,0.24,3.14,3.63,-4.081,0.7605343,0.8,17.275,1.81,0.01,2.27,0.06942094,3.63,2.66,1.81,2.27,0.55,0.05,12.840109
GSUM,0.5463917,1190000000.0,1.87,0.12,0.5,0.0,0.2,-0.08,0.0,2.0,15.7,0.001,0.0,0.0,27970000000.0,102.44,0.22,1.3781,1.7558,1.3784999999999998,0.5,2.0,0.0,0.1103282,0.35,1.16,0.75,-4.081,0.7605343,0.25,17.275,1.81,0.01,1.29,0.06942094,0.75,1.07,1.81,1.29,1.32,0.08,12.840109
JFU,0.5463917,1370000000.0,1.59,2.47,0.6,0.0,-0.1322,-0.1,0.0,1946.0,12.33,0.001,0.0,0.0,165680000000.0,3.64,0.22,1.3781,1.7558,1.3784999999999998,1.3,3.0,-0.544,0.1103282,0.16,0.5088,0.75,-4.081,0.7605343,0.95,17.275,1.26,0.01,1.11,0.06942094,0.75,2.66,1.26,1.11,1.26,0.1,12.840109
MNRL,0.5463917,1550000000.0,1.59,0.3,4.5,0.0,0.2,0.01,0.0,41.0,30.62,0.004,0.0,0.0,27970000000.0,71.15,10.74,1.3781,1.7558,1.3784999999999998,4.5,1.9,0.0,0.1103282,0.04,0.5088,0.75,-4.081,0.7605343,1.5,24.51515,1.81,0.01,1.92,0.06942094,0.75,3.5,1.81,1.92,0.55,0.08,12.840109
NAKD,-0.94665074,8220000000.000001,1.59,0.02,0.6,0.0,0.2,-0.06,0.0,260.0,12.33,0.10640000000000001,0.0,0.0,8930000000.0,3.64,0.22,-0.5852,-0.5427000000000001,-0.8826,0.2,3.0,-0.33,0.1103282,0.04,0.2,0.189,-4.081,0.35344,0.1,17.275,0.222,-0.04,0.223,0.06942094,0.189,0.1812,0.222,0.223,0.222,0.16,0.551079
NOVN,0.5463917,30040000000.0,1.59,0.26,4.0,0.0,0.2,-0.06,0.5,42.0,12.33,0.004,0.0,0.0,27970000000.0,3.64,0.22,0.20739999999999997,1.7558,1.3784999999999998,4.0,2.0,0.0,0.1103282,0.25,0.5088,0.52,-4.081,0.7605343,0.215,17.275,0.55,0.01,0.528,0.06942094,0.52,2.66,0.55,0.528,0.55,0.58,12.840109
RVLV,-0.21422982,1380000000.0,1.59,0.0,2.0,0.16,0.24109999999999998,-0.1,0.3552,2.0,25.35,0.013000000000000001,0.0,0.0,1260000000.0,34.2,14.88,1.3781,1.7558,1.3784999999999998,1.5,2.2,0.0,0.1103282,0.01,2.25,0.55,-4.081,0.7605343,0.25,25.724638,0.55,1.63,2.27,0.06942094,0.55,2.66,2.4,2.27,0.55,0.08,12.840109
SPRO,0.028537035,1550000000.0,2.51,2.86,4.5,0.0,0.369,-0.87,0.062,57.0,149.8,0.003,-0.0556,0.0,27970000000.0,102.44,0.22,1.3781,1.7558,-0.1707,4.5,1.6,-0.22699999999999998,0.1103282,5.76,0.5088,0.75,-4.081,11.968286,0.25,-2.8976607,0.55,-0.08,2.27,0.06942094,0.75,2.66,0.55,2.27,0.55,0.08,11.002857
