Symbol,Name,"3Y %Chg",Last,Change,%Chg,"3Y Chg","3Y High","3Y Low","Avg Vol",Time
TSLA,"Tesla Inc",+540.52%,441.76,-8,-1.78%,379.54,502.49,35.4,90562195,09/16/20
OESX,"Orion Energy Syst",+527.59%,7.63,0.35,+4.81%,6.12,7.71,0.53,536875,09/16/20
RVP,"Retractable Technologies",+804.69%,6.08,0.29,+5.01%,5.15,13.65,0.54,604885,09/16/20
FLGT,"Fulgent Genetics Inc",+562.80%,32.35,2.06,+6.80%,25.72,52.47,2.72,1236700,09/16/20
HEBT,"Hebron Technology Co. Ltd",+344.63%,13.32,0.07,+0.53%,10.27,23.99,0.5,52590,09/16/20
RLMD,"Relmada Therapeutics Inc","+1,011.47%",38.52,0.73,+1.93%,34.39,54,2.44,69620,09/16/20
ENPH,"Enphase Energy Inc","+5,017.73%",72.83,0.67,+0.93%,70.75,80.47,1.24,2930590,09/16/20
WKHS,"Workhorse Grp",+821.82%,26.82,1.47,+5.80%,22.6,28.2,0.37,24093100,09/16/20
APPS,"Digital Turbine","+2,008.09%",32.23,3.56,+12.42%,27.31,32.37,1.12,6120505,09/16/20
AXSM,"Axsome Thera","+1,364.14%",80.77,-0.49,-0.60%,75.71,109.94,1.94,457505,09/16/20
"Downloaded from Barchart.com as of 09-16-2020 10:07pm CDT"
