ticker,52W Low_imputed,52WeekChange_imputed,Avg Volume_imputed,Change_imputed,EPS next 5Y_imputed,EPS next Y_imputed,EPS past 5Y_imputed,Insider Own_imputed,Insider Trans_imputed,Inst Trans_imputed,Perf Half Y_imputed,Perf Month_imputed,Perf Week_imputed,Perf YTD_imputed,ROI_imputed,SMA20_imputed,SMA200_imputed,SMA50_imputed,Sales Q/Q_imputed,SandP52WeekChange_imputed,ask_imputed,bid_imputed,dayHigh_imputed,dayLow_imputed,enterpriseToEbitda_imputed,enterpriseToRevenue_imputed,fiftyDayAverage_imputed,fiftyTwoWeekLow_imputed,forwardEps_imputed,forwardPE_imputed,open_imputed,pegRatio_imputed,priceToSalesTrailing12Months_imputed,regularMarketDayHigh_imputed,regularMarketDayLow_imputed,regularMarketOpen_imputed,shortRatio_imputed,trailingEps_imputed,twoHundredDayAverage_imputed,ATR_imputed,Beta_imputed,Cash/sh_imputed,Current Ratio_imputed,Debt/Eq_imputed,EPS next Q_imputed,Employees_imputed,Forward P/E_imputed,LT Debt/Eq_imputed,P/B_imputed,P/E_imputed,P/S_imputed,Quick Ratio_imputed,Recom_imputed,Rel Volume_imputed,Short Ratio_imputed
CRBP,-0.3222,0.7257463,2820000000.0,-0.7589,0.2,0.023,-0.619,0.004,0.08070000000000001,0.2796,-0.5099,-0.6626000000000001,-0.7598,-0.5916,-0.038,-0.725,-0.6485,-0.7054,-0.99,0.1103282,1.92,1.88,2.3,1.81,-5.879,97.198,7.5274286,1.81,-1.73,-1.2890173,2.3,0.01,25.266964,2.3,1.81,2.3,9.07,-1.695,6.6025,0.45,1.92,0.75,2.1,0.0,-0.42,141.0,0.19,0.0,1.82,3.64,14.07,2.1,2.7,0.76,3.99
DPW,2.717,-0.16000003,3370000000.0,-0.114,0.2,0.0,0.21600000000000003,0.098,0.0,0.8737,2.5074,-0.1429,0.2353,0.6723,-1.5619999999999998,0.0152,0.1377,1.4875999999999998,0.08,0.1103282,1.95,1.94,14.8,1.91,-19.88,1.561,3.9562857,0.53,-0.23,-0.6744681,2.22,0.01,0.8444652,14.8,1.91,2.22,0.1,-7.935,1.6595714,0.32,3.61,0.24,0.4,4.07,-0.08,29.0,0.19,0.27,4.52,3.64,0.93,0.3,2.0,0.32,0.09
EVFM,0.1392,-0.3129921,4059999999.9999995,-0.10890000000000001,0.2,0.467,0.42700000000000005,0.02,-0.9134,0.1191,-0.40869999999999995,0.061399999999999996,-0.0633,-0.4959,-0.038,-0.0263,-0.3346,0.0139,0.0,0.11079204,2.18,3.11,3.46,2.03,-3.057,1.584,3.0934286,2.73,-1.05,-2.9619048,3.39,-0.02,17.238573,3.46,2.03,3.39,0.08,-1.938,4.1342754,0.24,0.36,1.63,2.1,0.65,-0.44,53.0,12.33,0.0,2.44,3.64,0.03,2.0,2.0,0.4,2.85
FARM,1.135,-0.16000003,1150000000.0,-0.114,0.3,0.0,-0.162,0.02,0.0134,-0.0171,2.5074,-0.11960000000000001,0.2353,-0.0885,-0.42100000000000004,-0.0741,-0.425,-0.11230000000000001,0.0,0.1103282,0.44,5.51,14.8,4.21,-19.88,0.379,6.1762857,0.25,-0.23,-0.6744681,5.65,-0.54,17.238573,14.8,4.21,5.65,0.17,-2.19,4.554236,0.32,1.59,0.0,2.7,0.0,-0.16,53.0,0.19,1.09,0.4,3.64,0.16,1.7,3.0,0.6,0.04
FRGI,1.135,-0.16000003,1150000000.0,-0.10619999999999999,0.13,0.0,-0.287,0.026000000000000002,-0.0003,0.0361,2.5074,-0.20199999999999999,0.2353,-0.0885,-0.03,-0.0741,0.1377,1.4875999999999998,0.0,0.11079204,0.44,11.5,14.8,11.5,-19.88,0.772,3.9562857,2.72,0.14,-0.6744681,5.15,0.01,0.5053015,14.8,11.5,5.15,0.08,-0.217,4.554236,0.7,1.59,0.0,1.8,1.05,-0.04,2.0,78.86,1.05,1.98,3.64,0.15,1.7,2.5,0.65,0.04
GRIL,1.135,-0.16000003,1550000000.0,-0.1383,0.2,0.0,0.13,0.086,0.0,0.2254,2.5074,0.020099999999999996,0.2353,-0.0885,-0.365,-0.038,0.1377,-0.2553,-0.071,0.11079204,1.66,1.63,2.25,1.58,-19.88,1.584,3.9562857,1.42,-0.23,-0.6744681,2.2,0.01,17.238573,2.25,1.58,2.2,0.26,-0.514,4.554236,0.18,1.59,0.3,1.1,0.34,-0.08,380.0,12.33,0.18,3.0,3.64,3.66,1.0,2.0,1.25,0.55
GROW,1.135,-0.16000003,1550000000.0,-0.114,0.2,0.0,-0.162,0.008,0.0,156400000000.0,2.5074,-0.1429,0.2353,-0.0885,-0.42100000000000004,-0.1787,0.5084000000000001,1.4875999999999998,0.0,0.1103282,0.44,0.8,3.63,2.82,-19.88,1.584,3.9562857,0.8,-0.23,-0.6744681,1.81,0.01,17.238573,3.63,3.5,1.81,0.05,-0.045,4.554236,0.19,2.65,0.0,5.2,0.02,-0.1,21.0,0.19,0.0,0.4,3.64,0.03,5.2,2.0,0.45,0.24
GSUM,1.135,-0.16000003,3680000000.0,-0.114,0.2,0.0,-0.162,0.001,0.0,156400000000.0,0.446,-0.1429,0.2353,-0.0885,-0.038,-0.0741,0.1377,1.4875999999999998,0.0,0.1103282,1.16,0.8,14.8,1.07,-19.88,1.584,3.9562857,0.25,-0.23,-0.6744681,1.81,0.01,17.238573,14.8,1.07,1.81,0.08,-0.045,4.554236,0.14,1.87,0.12,0.5,0.0,-0.08,2.0,0.19,0.0,0.4,3.64,0.49,0.5,2.0,0.56,0.35
JFU,1.135,-0.16000003,1370000000.0,-0.114,-0.1322,-0.36590000000000006,-0.162,0.001,0.0,0.004699999999999999,2.5074,-0.4266,0.10490000000000001,-0.9075,-0.373,-0.2218,0.1377,1.4875999999999998,-0.544,0.1103282,0.44,0.8,14.8,4.21,-19.88,1.584,3.9562857,0.95,-0.23,-0.6744681,1.26,0.01,17.238573,14.8,4.21,1.26,0.1,-0.045,4.554236,0.11,1.59,2.47,0.6,0.0,-0.14,1946.0,12.33,0.0,0.21,3.64,0.45,0.1,3.0,0.49,0.16
MNRL,1.135,-0.53216076,1550000000.0,-0.131,0.2,0.0,-0.162,0.004,-0.9904000000000001,0.8737,2.5074,-0.369,-0.24530000000000002,-0.6227,-0.42100000000000004,-0.2218,0.1377,1.4875999999999998,0.0,0.1103282,0.44,0.8,0.75,3.5,-19.88,1.584,3.9562857,1.5,0.33,-0.6744681,5.15,0.01,17.238573,0.75,4.21,5.15,0.17,-0.045,4.554236,0.56,1.59,0.3,4.5,0.0,0.01,41.0,30.62,0.0,1.08,71.15,0.14,4.5,1.9,0.55,0.04
NAKD,-0.059500000000000004,-0.94665074,10570000000.0,-0.1524,0.2,0.0,0.095,0.10640000000000001,0.0,0.9487000000000001,-0.5852,-0.5427000000000001,-0.2638,-0.8773000000000001,-0.93,-0.40590000000000004,-0.7953,-0.5760000000000001,-0.33,0.1103282,0.2,0.1911,0.222,0.1812,-19.88,1.584,0.38454285,0.1812,-0.11,-0.6744681,0.222,0.01,17.238573,0.222,0.1812,0.222,0.16,-1.494,0.551079,0.02,1.59,0.02,0.6,0.0,-0.06,260.0,12.33,0.0,0.4,3.64,0.23,0.2,3.0,1.65,0.04
NOVN,1.135,-0.16000003,30040000000.0,-0.1081,0.2,0.5,-0.162,0.004,0.0,156400000000.0,0.20739999999999997,-0.1429,0.1244,-0.0885,-0.42100000000000004,-0.1741,0.1377,1.4875999999999998,-0.304,0.1103282,0.44,0.8,0.75,0.4503,-2.712,13.202,3.9562857,0.215,-0.15,-0.6744681,5.15,0.01,17.238573,0.75,0.4503,5.15,0.58,-0.045,4.554236,0.04,1.59,0.26,4.0,0.0,-0.06,42.0,12.33,0.0,0.4,3.64,0.03,4.0,2.0,0.17,0.25
RVLV,1.135,-0.16000003,1380000000.0,-0.114,0.24109999999999998,0.0,-0.162,0.013000000000000001,-0.9142,0.0645,2.5074,-0.20199999999999999,0.2353,-0.0885,-0.038,-0.0741,0.1377,1.4875999999999998,0.0,0.1103282,2.25,0.8,14.8,4.21,-19.88,1.584,3.9562857,0.25,-0.23,-0.6744681,5.15,0.01,17.238573,14.8,4.21,5.15,0.08,-0.045,4.554236,1.01,1.59,0.0,2.0,0.16,-0.1,7.0,25.35,0.0,0.4,34.2,0.15,1.5,2.2,0.68,0.04
SPRO,1.135,-0.16000003,1550000000.0,-0.10880000000000001,0.369,0.062,-0.162,0.003,-0.0556,0.0233,2.5074,-0.1429,0.2353,-0.0885,-0.847,-0.0741,0.1377,1.4875999999999998,-0.22699999999999998,0.1103282,0.44,0.8,14.8,4.21,-19.88,1.584,11.968286,5.25,-3.42,-3.251462,5.15,-0.08,17.238573,14.8,4.21,5.15,0.17,-4.311,4.554236,0.94,1.59,2.86,4.5,0.0,-0.87,57.0,0.19,0.0,3.73,3.64,28.36,4.5,1.6,0.72,5.76
STSA,0.061500000000000006,-0.16000003,1360000000.0,-0.114,0.2,-0.092,-0.162,0.001,-0.47850000000000004,0.0063,2.5074,-0.1429,0.2353,-0.0885,-0.17,-0.2218,-0.7498999999999999,0.004699999999999999,0.0,0.1103282,4.8,1.03,14.8,4.21,-19.88,1.584,3.9562857,4.55,-2.31,-0.6744681,5.15,0.01,0.23025501,14.8,4.21,5.15,3.6,-11.201,4.554236,0.99,1.59,5.41,15.1,0.04,-0.7,20.0,0.19,0.02,0.75,3.64,0.19,15.1,2.8,0.21,0.29
SVRA,1.135,-0.16000003,1190000000.0,-0.1185,0.2,0.0,-0.162,0.001,0.0,0.0129,-0.4826,-0.38659999999999994,0.2353,-0.0885,0.025,-0.0741,0.1377,1.4875999999999998,0.0,0.11079204,1.19,1.18,14.8,1.07,-19.88,1.584,3.9562857,0.25,-0.62,-1.9193549,1.28,0.01,17.238573,14.8,1.07,1.28,0.17,-0.045,2.2057142,0.09,1.08,1.86,15.9,0.3,-0.18,42.0,0.19,0.3,0.4,3.64,0.15,15.9,2.2,0.59,0.04
TVTY,1.135,-0.16000003,1550000000.0,-0.114,0.022000000000000002,0.0,-0.162,0.036000000000000004,0.0,0.0645,2.5074,-0.1734,0.2353,-0.0885,0.059000000000000004,-0.131,0.0253,-0.1217,0.0,0.1103282,0.44,0.8,14.8,3.5,-19.88,1.545,3.9562857,1.92,-0.23,-0.6744681,5.15,5.28,17.238573,14.8,3.5,5.15,0.08,-0.045,4.554236,0.17,2.43,0.0,1.0,0.0,-0.06,2.0,9.95,26.61,0.4,3.64,0.63,0.8,2.7,0.36,0.04
VVPR,15.4746,7.536764,2310000000.0,-0.102,0.2,0.0,-0.162,0.8128,0.0,0.8737,9.3957,3.7415,0.0658,5.0381,-0.045,0.9666,5.3335,2.1758,0.625,0.1103282,9.82,6.45,13.75,7.53,29.996,1.941,3.6542,0.59,-0.23,-0.6744681,7.99,0.01,1.9804318,13.75,6.175,7.99,0.06,-0.38,1.8604785,2.77,4.95,0.24,1.0,1.46,-0.1,204.0,12.33,1.39,12.82,3.64,3.92,1.3,2.0,39.83,0.04
WKEY,1.135,-0.16000003,1550000000.0,-0.114,0.2,-0.536,-0.162,0.001,0.0,0.8737,2.5074,-0.12119999999999999,-0.2327,-0.0885,-0.42100000000000004,-0.2218,0.1377,-0.32630000000000003,-0.115,0.1103282,6.44,6.45,0.75,4.21,-2.722,0.905,3.9562857,0.25,0.52,-0.6744681,0.4519,-0.04,0.3934893,0.75,4.21,0.4519,0.06,1.76,4.554236,0.56,1.59,0.0,1.0,0.0,0.15,103.0,12.33,0.0,1.46,3.64,3.92,0.1,2.0,0.46,0.09
ASTC,1.135,-0.16000003,1240000000.0,-0.11539999999999999,0.2,0.0,-0.162,0.002,0.0,0.056600000000000004,2.5074,-0.1429,0.2353,-0.0885,-0.365,-0.2833,-0.3201,-0.3887,1.0,0.11441445,1.68,1.68,1.82,4.21,-19.88,1.584,3.9562857,0.25,-0.68,-0.6744681,1.81,0.01,17.238573,1.82,4.21,1.81,0.53,-1.31,4.554236,0.16,1.59,0.42,1.1,5.17,-0.08,27.0,0.19,0.67,0.4,3.64,0.49,0.9,2.0,0.15,0.04
HJLI,1.135,-0.16000003,1190000000.0,-0.1664,0.2,0.0,-0.162,0.095,0.0,156400000000.0,2.5074,-0.1429,0.2353,-0.0885,-0.42100000000000004,-0.038,0.1377,0.004699999999999999,-0.304,0.11441445,0.44,0.8,0.75,0.465,-19.88,1.584,3.9562857,0.25,-0.23,-0.6744681,5.15,0.01,17.238573,0.75,4.21,0.93,0.07,-0.364,4.554236,0.04,1.59,0.0,0.6,0.0,-0.05,12.0,12.33,0.0,0.4,3.64,0.03,0.6,2.0,0.16,0.15
RUHN,1.135,-0.16000003,1550000000.0,-0.1285,0.2,0.0,-0.24100000000000002,0.001,0.0,0.0645,2.5074,-0.1429,0.2353,-0.0885,-0.106,-0.0741,0.1377,0.004699999999999999,0.0,0.11079204,2.25,0.8,2.97,3.5,-19.88,0.72,3.333147,1.5,0.1,25.1,2.93,0.01,17.238573,2.97,3.5,2.93,0.54,-0.045,4.554236,0.16,1.59,0.0,4.1,0.01,0.01,7.0,13.89,0.0,0.4,3.64,1.19,3.7,2.0,0.67,0.01
TLGT,1.135,-0.99998623,1550000000.0,-0.114,0.15,0.239,-0.495,0.0102,0.0,156400000000.0,2.5074,0.061399999999999996,0.2353,-0.0885,-0.051,-0.13570000000000002,-0.7498999999999999,-0.2441,-0.257,0.11079204,0.85,1.03,1.3,1.2,-19.88,3.604,3.9562857,1.04,-5.04,-0.6744681,1.28,-0.01,17.238573,1.3,1.2,1.28,1.36,-9.885,4.554236,0.09,1.65,1.13,2.3,0.0,-1.48,252.0,0.19,0.0,0.4,3.64,0.06,0.9,3.0,1.97,1.76
AEYE,1.135,-0.16000003,1060000000.0,-0.114,0.15,0.0,-0.162,0.001,0.0,156400000000.0,3.6989,-0.20199999999999999,0.2353,-0.0885,0.025,-0.0741,0.1377,1.4875999999999998,0.0,0.12570786,12.8,12.16,14.8,4.21,-19.88,1.584,3.9562857,0.25,-0.19,-0.6744681,5.15,0.01,17.238573,14.8,4.21,5.15,0.74,-0.045,4.554236,0.09,1.59,0.0,0.8,0.0,-0.31,84.0,12.33,0.0,0.4,3.64,0.15,0.8,1.5,0.65,0.01
CAPR,1.135,-0.16000003,1550000000.0,-0.1285,0.2,0.363,-0.162,0.002,0.0,0.0645,2.5074,-0.1429,0.0196,-0.0885,-0.17,-0.038,0.1377,1.4875999999999998,0.0,0.12570786,0.44,0.8,14.8,4.21,-6.774,1.584,3.9562857,0.88,-0.93,-0.6744681,5.15,0.01,17.238573,14.8,4.6601,5.15,0.17,-0.045,4.554236,0.47,1.59,1.73,1.0,0.12,-0.37,16.0,0.19,0.0,2.36,3.64,0.03,19.1,2.0,0.16,0.04
CENX,2.2062,-0.16000003,1150000000.0,-0.11230000000000001,0.1,0.9390000000000001,-0.22,0.013999999999999999,-0.2645,-0.0171,2.5074,-0.1429,0.2353,-0.0885,-0.066,-0.0368,0.4242,1.4875999999999998,-0.15,0.10953009,0.44,9.21,11.08,4.21,47.273,0.644,3.9562857,2.91,-0.05,-186.59999,5.15,-0.16,17.238573,11.08,4.21,5.15,1.96,-0.617,4.554236,0.55,2.26,2.0,2.1,0.58,-0.63,2079.0,0.19,0.47,1.1,3.64,0.41,1.0,3.0,1.2,2.74
FRAN,1.135,-0.7137681,1690000000.0,-0.1059,0.1,0.0,-0.24100000000000002,0.008,0.0,0.0478,0.4451,-0.26539999999999997,-0.24280000000000002,-0.6199,-0.436,-0.0741,-0.31579999999999997,1.4875999999999998,-0.49700000000000005,0.12570786,3.54,3.82,3.7787,3.5,-32.07,0.72,5.5065713,1.7,-0.25,-0.6744681,3.68,0.01,0.029482212,3.7787,3.5,3.68,2.44,-10.405,4.0063043,0.4,2.51,6.43,0.6,0.85,-0.1,1159.0,0.19,0.0,0.59,3.64,0.03,0.4,3.0,0.19,0.96
MAXN,1.135,-0.16000003,1550000000.0,-0.114,0.2,0.0,0.13,0.001,0.0,0.8737,2.5074,-0.2682,-0.264,-0.0885,-0.344,-0.2218,0.1377,1.4875999999999998,0.0,0.12570786,0.44,0.8,17.84,4.21,-19.88,2.585,3.9562857,0.25,-0.23,-0.6744681,1.81,0.01,17.238573,17.84,4.21,1.81,0.24,-0.045,4.554236,0.11,1.59,1.35,1.2,0.15,-0.08,2.0,12.33,0.0,0.4,3.64,0.54,0.7,3.0,0.72,0.04
MGEN,1.135,-0.16000003,3680000000.0,-0.114,0.2,0.0,-0.162,0.006,0.0,156400000000.0,1.0593000000000001,-0.1429,-0.0889,-0.0885,-0.038,-0.038,0.0048,1.4875999999999998,0.0,0.12570786,0.44,0.8,0.9,0.76,-19.88,1.584,3.9562857,0.25,-0.51,-1.6078432,0.88,-0.04,18.055372,0.9,0.76,0.88,1.59,-0.045,4.554236,0.07,2.29,0.0,4.8,0.42,-0.13,45.0,0.19,0.25,0.4,3.64,0.03,4.8,2.0,0.4,0.83
VXRT,1.135,27.225805,31410000000.0,-0.114,0.2,0.14300000000000002,0.32,0.005,0.0,0.8737,3.2798000000000003,-0.1429,0.2353,19.5136,-1.26,-0.2218,0.1377,1.4875999999999998,4.0,0.12570786,7.1,0.8,14.8,4.21,-19.88,1.584,3.9562857,0.25,-0.3,-0.6744681,5.15,0.01,106.92484,14.8,4.21,5.15,0.08,-0.44,4.554236,0.82,-0.04,0.41,4.0,0.0,-0.09,28.0,0.19,0.0,13.5,3.64,101.47,4.0,2.0,0.21,0.69
AXL,1.726,-0.04207921,1550000000.0,-0.1027,-0.0464,1.281,-0.341,0.008,0.0,0.0183,1.0156,-0.0264,-0.0013,-0.2807,-0.054000000000000006,-0.10890000000000001,-0.0591,-0.07139999999999999,-0.8490000000000001,0.13119566,0.44,0.8,7.7,6.6,6.823,0.835,7.566571,2.5,0.41,16.390244,7.68,1.14,0.15681042,7.7,6.6,7.68,3.69,-11.455,6.206232,0.41,2.89,8.16,1.6,21.08,0.07,20000.0,16.51,18.15,3.96,3.64,0.15,1.3,2.3,0.76,3.18
CIDM,1.135,-0.13684213,3680000000.0,-0.18030000000000002,0.1,0.645,0.379,0.08,-0.7364,156400000000.0,1.1474,-0.4171,0.18420000000000003,0.16570000000000001,-0.172,-0.038,0.1377,1.4875999999999998,-0.38799999999999996,0.13119566,0.44,0.8,0.75,0.656,29.958,3.772,1.1245714,0.25,-0.11,-0.6744681,0.7355,-0.26,17.238573,0.75,0.656,0.7355,0.2,-0.516,1.1021014,0.06,1.84,0.14,0.5,0.0,-0.08,70.0,0.19,0.0,0.4,3.64,1.81,0.5,2.0,0.32,1.04
FRAN,1.135,-0.7137681,1710000000.0,-0.1059,0.1,0.0,-0.24100000000000002,0.008,0.0,0.0478,0.4451,-0.26539999999999997,-0.24280000000000002,-0.6199,-0.436,-0.038,-0.3807,0.004699999999999999,-0.49700000000000005,0.13119566,3.54,3.53,3.7787,3.5,-32.07,0.72,5.4862857,1.7,-0.25,-0.6744681,3.68,0.01,0.029482212,3.7787,3.5,3.68,2.44,-10.405,3.987971,0.4,2.51,6.43,0.6,0.85,-0.1,1159.0,0.19,0.0,0.59,3.64,0.03,0.4,3.0,0.19,0.96
HHT,1.135,-0.7007576,4040000000.0,-0.114,0.2,-0.536,-0.162,0.5776,0.0,156400000000.0,-0.25079999999999997,-0.12119999999999999,-0.041299999999999996,-0.4546,-0.42100000000000004,-0.2218,0.1377,-0.528,-0.19899999999999998,0.13119566,0.5166,0.8,0.55,0.4499,-2.722,0.905,1.0017142,0.31,-0.23,-0.6744681,0.4519,0.01,17.238573,0.55,0.4499,0.4519,0.4,-2.463,0.7889855,0.12,1.59,0.0,0.3,0.0,-0.06,233.0,12.33,0.0,6.58,3.64,0.67,0.2,3.0,0.28,0.24
JILL,1.135,-0.66256416,3600000000.0,-0.10880000000000001,0.2,0.532,-0.162,0.027000000000000003,0.1258,-0.0703,0.1411,0.3094,0.2396,-0.41759999999999997,-0.4,-0.19519999999999998,-0.2288,1.4875999999999998,-0.488,0.13119566,0.5893,0.585,0.6297,0.579,-29.89,0.933,0.52537143,0.31,-0.52,-0.6744681,0.62,0.01,17.238573,0.6297,0.579,0.62,4.93,-2.835,0.5728261,0.09,1.6,0.69,0.3,0.0,-0.06,1400.0,12.33,0.0,0.4,3.64,0.06,0.2,3.0,0.23,0.63
JNCE,2.3333,2.1924198,1120000000.0,-0.1333,0.2,-0.153,0.43,0.006,-0.06570000000000001,-0.0026,2.102,1.3397,0.4698,0.25429999999999997,0.302,-0.0741,0.1377,0.004699999999999999,0.0,0.13119566,9.3,9.29,10.91,9.18,7.68,1.453,5.726857,2.79,-2.79,-3.332258,10.79,0.01,2.6630929,10.91,9.18,10.79,13.51,0.628,5.3302174,0.79,1.68,3.61,8.0,0.0,-0.78,130.0,12.33,0.0,2.57,15.6,2.84,8.0,2.3,0.22,1.1
AXL,1.726,-0.04207921,1550000000.0,-0.1008,-0.0464,1.281,-0.341,0.008,0.0,0.0183,1.0156,-0.0264,-0.0013,-0.2807,-0.054000000000000006,-0.08990000000000001,-0.0591,-0.0888,-0.8490000000000001,0.13119566,0.44,0.8,7.7,6.6,6.823,0.835,7.566571,2.5,0.41,16.390244,7.68,1.14,0.15681042,7.7,6.6,7.68,3.69,-11.455,6.206232,0.41,2.89,8.16,1.6,21.08,0.07,20000.0,16.51,18.15,3.96,3.64,0.15,1.3,2.3,0.76,3.18
CIDM,1.135,-0.13684213,3680000000.0,-0.18030000000000002,0.1,0.645,0.379,0.08,-0.7364,156400000000.0,1.1474,-0.4171,0.18420000000000003,0.16570000000000001,-0.172,-0.038,0.1377,1.4875999999999998,-0.38799999999999996,0.13119566,0.44,0.8,0.75,0.656,29.958,3.772,1.1245714,0.25,-0.11,-0.6744681,0.7355,-0.26,17.238573,0.75,0.656,0.7355,0.2,-0.516,1.1021014,0.06,1.84,0.14,0.5,0.0,-0.08,70.0,0.19,0.0,0.4,3.64,1.81,0.5,2.0,0.32,1.04
FRAN,1.135,-0.7137681,1710000000.0,-0.1059,0.1,0.0,-0.24100000000000002,0.008,0.0,0.0478,0.4451,-0.26539999999999997,-0.24280000000000002,-0.6199,-0.436,-0.0741,-0.3807,-0.2978,-0.49700000000000005,0.13119566,3.54,3.53,3.7787,3.5,-32.07,0.72,5.4862857,1.7,-0.25,-0.6744681,3.68,0.01,0.029482212,3.7787,3.5,3.68,2.44,-10.405,3.987971,0.4,2.51,6.43,0.6,0.85,-0.1,1159.0,0.19,0.0,0.59,3.64,0.03,0.4,3.0,0.19,0.96
HHT,1.135,-0.7007576,4040000000.0,-0.114,0.2,-0.536,-0.162,0.5776,0.0,156400000000.0,-0.25079999999999997,-0.12119999999999999,-0.041299999999999996,-0.4546,-0.42100000000000004,-0.1741,0.1377,-0.528,-0.19899999999999998,0.13119566,0.5166,0.8,0.55,0.4499,-2.722,0.905,1.0017142,0.31,-0.23,-0.6744681,0.4519,0.01,17.238573,0.55,0.4499,0.4519,0.4,-2.463,0.7889855,0.12,1.59,0.0,0.3,0.0,-0.06,233.0,12.33,0.0,6.58,3.64,0.67,0.2,3.0,0.28,0.24
JILL,1.135,-0.66256416,3600000000.0,-0.10880000000000001,0.2,0.532,-0.162,0.027000000000000003,0.1258,-0.0703,0.1411,0.3094,0.2396,-0.41759999999999997,-0.4,-0.131,-0.2288,1.4875999999999998,-0.488,0.13119566,0.5893,0.585,0.6297,0.579,-29.89,0.933,0.52537143,0.31,-0.52,-0.6744681,0.62,0.01,17.238573,0.6297,0.579,0.62,4.93,-2.835,0.5728261,0.09,1.6,0.69,0.3,0.0,-0.06,1400.0,12.33,0.0,0.4,3.64,0.06,0.2,3.0,0.23,0.63
JNCE,2.3333,2.1924198,1120000000.0,-0.1333,0.2,-0.153,0.43,0.006,-0.06570000000000001,-0.0026,2.102,1.3397,0.4698,0.25429999999999997,0.302,-0.0741,0.1377,0.004699999999999999,0.0,0.13119566,9.3,9.29,10.91,9.18,7.68,1.453,5.726857,2.79,-2.79,-3.332258,10.79,0.01,2.6630929,10.91,9.18,10.79,13.51,0.628,5.3302174,0.79,1.68,3.61,8.0,0.0,-0.78,130.0,12.33,0.0,2.57,15.6,2.84,8.0,2.3,0.22,1.1
SUPV,1.135,-0.16000003,1550000000.0,-0.10800000000000001,-0.07,0.0,0.262,0.001,0.0,-0.0241,2.5074,-0.1429,0.2353,-0.0885,0.025,-0.0741,0.1377,-0.1675,0.0,0.13119566,2.25,2.22,14.8,3.5,-19.88,0.72,2.6765714,1.28,0.78,-0.6744681,2.4,-0.47,0.26373136,14.8,3.5,2.4,0.73,-0.045,4.554236,0.14,1.59,0.0,1.2,0.36,0.15,7.0,3.19,0.36,0.42,3.66,0.15,1.2,3.7,0.58,0.03
AXL,1.726,-0.04207921,1550000000.0,-0.1195,-0.0464,1.281,-0.341,0.008,0.0,0.0183,1.0156,-0.0264,-0.0013,-0.2807,-0.054000000000000006,-0.10890000000000001,-0.0591,-0.0888,-0.8490000000000001,0.13119566,0.44,1.03,7.7,6.6,6.823,0.835,7.566571,2.5,0.41,16.390244,7.68,1.14,0.15681042,7.7,6.6,7.68,3.69,-11.455,6.206232,0.41,2.89,8.16,1.6,21.08,0.07,20000.0,16.51,18.15,3.96,3.64,0.15,1.3,2.3,0.76,3.18
CIDM,1.135,-0.13684213,3680000000.0,-0.18030000000000002,0.1,0.645,0.379,0.08,-0.7364,156400000000.0,1.1474,-0.4171,0.18420000000000003,0.16570000000000001,-0.172,-0.038,0.1377,1.4875999999999998,-0.38799999999999996,0.13119566,0.44,0.8,0.75,0.656,29.958,3.772,1.1245714,0.25,-0.11,-0.6744681,0.7355,-0.26,17.238573,0.75,0.656,0.7355,0.2,-0.516,1.1021014,0.06,1.84,0.14,0.5,0.0,-0.08,70.0,0.19,0.0,0.4,3.64,1.81,0.5,2.0,0.32,1.04
HHT,1.135,-0.7007576,4040000000.0,-0.114,0.2,-0.536,-0.162,0.5776,0.0,156400000000.0,-0.25079999999999997,-0.12119999999999999,-0.041299999999999996,-0.4546,-0.42100000000000004,-0.1741,0.1377,-0.5115,-0.19899999999999998,0.13119566,0.5166,0.8,0.55,0.4499,-2.722,0.905,1.0017142,0.31,-0.23,-0.6744681,0.4519,0.01,17.238573,0.55,0.4499,0.4519,0.4,-2.463,0.7889855,0.12,1.59,0.0,0.3,0.0,-0.06,233.0,12.33,0.0,6.58,3.64,0.67,0.2,3.0,0.28,0.24
JE,1.135,-0.86,9140000000.0,-0.1073,0.2,-0.536,-0.162,0.42979999999999996,0.0,156400000000.0,-0.9793999999999999,-0.12119999999999999,-0.24109999999999998,-0.8963,-0.42100000000000004,-0.038,0.1377,-0.2964,-0.115,0.13119566,0.2645,0.315,0.75,0.4499,-2.722,0.905,3.9562857,0.215,0.52,0.5209616,0.251,0.01,0.3934893,0.75,0.4499,0.251,0.48,1.76,4.554236,2.63,1.59,0.0,0.1,0.0,0.15,880.0,12.33,0.0,0.4,3.64,0.03,0.1,1.7,33.71,0.11
JILL,1.135,-0.66256416,3600000000.0,-0.10880000000000001,0.2,0.532,-0.162,0.027000000000000003,0.1258,-0.0703,0.1411,0.3094,0.2396,-0.41759999999999997,-0.4,-0.19519999999999998,-0.2288,1.4875999999999998,-0.488,0.13119566,0.5893,0.585,0.6297,0.579,-29.89,0.933,0.52537143,0.31,-0.52,-0.6744681,0.62,0.01,17.238573,0.6297,0.579,0.62,4.93,-2.835,0.5728261,0.09,1.6,0.69,0.3,0.0,-0.06,1400.0,12.33,0.0,0.4,3.64,0.06,0.2,3.0,0.23,0.63
